date,id,type,name,from,to,next_salary,remaining_salary,vorp,bpm,age,years_service,years_left_on_contract,draft_year,draft_round
08/01/00,2000_1,player,P.J. Brown,Miami Heat,Charlotte Hornets,5.74,,14.5,1.58571428571429,,,,,
08/01/00,2000_1,player,Rodney Buford,Miami Heat,Charlotte Hornets,0.4235,,-0.2,-3.9,,,,,
08/01/00,2000_1,player,Tim James,Miami Heat,Charlotte Hornets,,,,,,,,,
08/01/00,2000_1,player,Jamal Mashburn,Miami Heat,Charlotte Hornets,,,,,,,,,
08/01/00,2000_1,player,Otis Thorpe,Miami Heat,Charlotte Hornets,,,,,,,,,
08/01/00,2000_1,player,Ricky Davis,Charlotte Hornets,Miami Heat,,,,,,,,,
08/01/00,2000_1,player,Dale Ellis,Charlotte Hornets,Miami Heat,,,,,,,,,
08/01/00,2000_1,player,Eddie Jones,Charlotte Hornets,Miami Heat,,,,,,,,,
08/01/00,2000_1,player,Anthony Mason,Charlotte Hornets,Miami Heat,,,,,,,,,
08/03/00,2000_2,player,Chucky Atkins,Orlando Magic,Detroit Pistons,,,,,,,,,
08/03/00,2000_2,player,Ben Wallace,Orlando Magic,Detroit Pistons,,,,,,,,,
08/03/00,2000_2,player,Grant Hill,Detroit Pistons,Orlando Magic,,,,,,,,,
08/03/00,2000_3,player,Andrew DeClercq,Cleveland Cavaliers,Orlando Magic,,,,,,,,,
08/03/00,2000_3,player,Matt Harpring,Orlando Magic,Cleveland Cavaliers,,,,,,,,,
08/03/00,2000_3,player,Tracy McGrady,Toronto Raptors,Orlando Magic,,,,,,,,,
08/03/00,2000_3,draft pick,2005 1st Round Pick,Orlando Magic,Toronto Raptors,,,,,,,,2005,1
08/16/00,2000_4,player,Dana Barros,Boston Celtics,Dallas Mavericks,,,,,,,,,
08/16/00,2000_4,player,Danny Fortson,Boston Celtics,Golden State Warriors,,,,,,,,,
08/16/00,2000_4,player,Robert Pack,Dallas Mavericks,Boston Celtics,,,,,,,,,
08/16/00,2000_4,player,Hot Rod Williams,Dallas Mavericks,Boston Celtics,,,,,,,,,
08/16/00,2000_4,player,Bruno Sundov,Dallas Mavericks,Utah Jazz,,,,,,,,,
08/16/00,2000_4,player,Bill Curly,Golden State Warriors,Dallas Mavericks,,,,,,,,,
08/16/00,2000_4,player,Donyell Marshall,Golden State Warriors,Utah Jazz,,,,,,,,,
08/16/00,2000_4,draft pick,2001 1st Round Pick,Utah Jazz,Boston Celtics,,,,,,,,2001,1
08/16/00,2000_4,player,Howard Eisley,Utah Jazz,Dallas Mavericks,,,,,,,,,
08/16/00,2000_4,player,Adam Keefe,Utah Jazz,Golden State Warriors,,,,,,,,,
08/22/00,2000_5,player,Isaac Austin,Washington Wizards,Vancouver Grizzlies,,,,,,,,,
08/22/00,2000_5,player,Obinna Ekezie,Vancouver Grizzlies,Washington Wizards,,,,,,,,,
08/22/00,2000_5,player,Felipe Lopez,Vancouver Grizzlies,Washington Wizards,,,,,,,,,
08/22/00,2000_5,player,Cherokee Parks,Vancouver Grizzlies,Washington Wizards,,,,,,,,,
08/22/00,2000_5,player,Dennis Scott,Vancouver Grizzlies,Washington Wizards,,,,,,,,,
08/22/00,2000_6,player,Billy Owens,Milwaukee Bucks,Detroit Pistons,,,,,,,,,
