date,id,type,name,from,to,next_salary,remaining_salary,vorp,bpm,age,years_service,years_left_on_contract,draft_year,draft_round
07/18/01,2001_1,player,Zeljko Rebraca,Toronto Raptors,Detroit Pistons,,,,,,,,,
07/18/01,2001_1,draft pick,2002 2nd Round Pick,Detroit Pistons,Toronto Raptors,,,,,,,,2002,2
07/18/01,2001_1,draft pick,2002 2nd Round Pick,Detroit Pistons,Toronto Raptors,,,,,,,,2002,2
07/18/01,2001_2,player,Brian Skinner,Chicago Bulls,Toronto Raptors,,,,,,,,,
07/18/01,2001_2,player,Charles Oakley,Toronto Raptors,Chicago Bulls,,,,,,,,,
07/18/01,2001_2,draft pick,2002 2nd Round Pick,Toronto Raptors,Chicago Bulls,,,,,,,,2002,2
07/18/01,2001_3,player,Chris Dudley,Phoenix Suns,New Jersey Nets,,,,,,,,,
07/18/01,2001_3,player,Jason Kidd,Phoenix Suns,New Jersey Nets,,,,,,,,,
07/18/01,2001_3,player,Stephon Marbury,New Jersey Nets,Phoenix Suns,,,,,,,,,
07/18/01,2001_3,player,Johnny Newman,New Jersey Nets,Phoenix Suns,,,,,,,,,
07/18/01,2001_3,player,Soumaila Samake,New Jersey Nets,Phoenix Suns,,,,,,,,,
07/18/01,2001_4,player,Clifford Robinson,Phoenix Suns,Detroit Pistons,,,,,,,,,
07/18/01,2001_4,player,Jud Buechler,Detroit Pistons,Phoenix Suns,,,,,,,,,
07/18/01,2001_4,player,John Wallace,Detroit Pistons,Phoenix Suns,,,,,,,,,
07/20/01,2001_5,player,Greg Anthony,Portland Trail Blazers,Chicago Bulls,,,,,,,,,
07/20/01,2001_5,draft pick,2002 2nd Round Pick,Chicago Bulls,Portland Trail Blazers,,,,,,,,2002,2
07/25/01,2001_6,player,Derek Anderson,San Antonio Spurs,Portland Trail Blazers,,,,,,,,,
07/25/01,2001_6,player,Steve Kerr,San Antonio Spurs,Portland Trail Blazers,,,,,,,,,
07/25/01,2001_6,draft pick,2003 2nd Round Pick,San Antonio Spurs,Portland Trail Blazers,,,,,,,,2003,2
07/25/01,2001_6,player,Steve Smith,Portland Trail Blazers,San Antonio Spurs,,,,,,,,,
08/01/01,2001_7,player,Brendan Haywood,Orlando Magic,Washington Wizards,,,,,,,,,
08/01/01,2001_7,player,Laron Profit,Washington Wizards,Orlando Magic,,,,,,,,,
08/01/01,2001_7,draft pick,2005 1st Round Pick,Washington Wizards,Orlando Magic,,,,,,,,2005,1
08/02/01,2001_8,player,Hakeem Olajuwon,Houston Rockets,Toronto Raptors,,,,,,,,,
08/02/01,2001_8,draft pick,2002 1st Round Pick,Toronto Raptors,Houston Rockets,,,,,,,,2002,1
